MaKhachHang,TenKhachHang,Vung,LoaiKhach,NgayBatDauGiaoDich,HanMucCongNo
KH0243,Huỳnh Quốc Việt,Miền Bắc,Lẻ,2023-10-18 14:24:09,56000000.0
KH0244,Huỳnh Bích Thảo,Miền Trung,Lẻ,2022-08-31 22:21:32,7000000.0
KH0245,Trần Ngọc Hương,Miền Bắc,Lẻ,2023-02-20 16:22:06,5000000.0
KH0246,Công ty TNHH Phân phối Hưng Thịnh,Miền Trung,Sỉ,2024-03-30 15:38:22,4419000000.0
KH0247,Hoàng Xuân Nam,Miền Nam,Lẻ,2023-09-04 00:09:43,8000000.0
KH0248,Doanh nghiệp tư nhân Xuất nhập khẩu Sao Việt,Miền Nam,Sỉ,2024-07-23 07:49:13,7673000000.0
KH0249,Phạm Thị Mai,Miền Trung,Lẻ,2023-02-28 10:08:03,50000000.0
KH0250,Phan Minh Phong,Miền Trung,Lẻ,2024-07-22 02:16:40,20000000.0
KH0251,Công ty TNHH MTV Thương mại Kim Long,Miền Nam,Sỉ,2024-03-15 03:42:16,269000000.0
KH0252,Phan Thị Anh,Miền Nam,Lẻ,2024-02-02 06:48:25,5000000.0
KH0253,Phạm Công Hải,Miền Trung,Lẻ,2023-08-11 11:52:07,27000000.0
KH0254,Lê Thu Mai,Miền Nam,Lẻ,2023-02-19 16:39:32,8000000.0
KH0255,Công ty TNHH Thương mại Tân Phát,Miền Nam,Sỉ,2022-11-26 09:33:07,353000000.0
KH0256,Doanh nghiệp tư nhân Xây dựng Đại Dương,Miền Bắc,Sỉ,2024-06-18 17:49:17,598000000.0
KH0257,Phan Ngọc Phương,Miền Bắc,Lẻ,2024-01-24 23:16:09,61000000.0
KH0258,Công ty TNHH MTV Thương mại Đông Á,Miền Nam,Sỉ,2023-06-18 21:44:06,827000000.0
KH0259,Công ty TNHH Xuất nhập khẩu Thành Đạt,Miền Nam,Sỉ,2023-09-03 22:15:25,840000000.0
KH0260,Doanh nghiệp tư nhân Thương mại Hoàng Gia,Miền Bắc,Sỉ,2023-09-07 21:22:19,211000000.0
KH0261,Đặng Xuân Việt,Miền Nam,Lẻ,2022-11-26 12:40:03,15000000.0
KH0262,Doanh nghiệp tư nhân Dịch vụ Minh Phát,Miền Trung,Sỉ,2023-07-28 16:40:12,23636000000.0
KH0263,Phan Ngọc Cường,Miền Nam,Lẻ,2024-04-25 06:16:53,5000000.0
KH0264,Doanh nghiệp tư nhân Phân phối Thiên Phú,Miền Nam,Sỉ,2024-06-21 10:49:46,564000000.0
KH0265,Công ty TNHH Xuất nhập khẩu Minh Phát,Miền Trung,Sỉ,2024-04-22 21:29:14,2368000000.0
KH0266,Phạm Xuân Phong,Miền Bắc,Lẻ,2022-10-27 04:52:36,13000000.0
KH0267,Trần Quốc Việt,Miền Nam,Lẻ,2023-06-18 04:17:28,14000000.0
KH0268,Công ty TNHH MTV Xây dựng Hoàng Gia,Miền Bắc,Sỉ,2023-04-03 11:07:06,2355000000.0
KH0269,Ngô Hữu Phong,Miền Bắc,Lẻ,2022-11-29 06:39:52,5000000.0
KH0270,Võ Ngọc Khánh,Miền Nam,Lẻ,2023-08-19 05:08:48,5000000.0
KH0271,Công ty Cổ phần Xây dựng Minh Phát,Miền Nam,Sỉ,2024-01-07 14:08:36,1613000000.0
KH0272,Lê Đức Sơn,Miền Bắc,Lẻ,2023-10-04 21:42:54,14000000.0
KH0273,Công ty Cổ phần Phân phối Hưng Thịnh,Miền Nam,Sỉ,2022-12-21 20:55:40,2274000000.0
KH0274,Công ty Cổ phần Phân phối Tân Phát,Miền Nam,Sỉ,2023-08-29 15:24:08,2765000000.0
KH0275,Vũ Bích Nhung,Miền Bắc,Lẻ,2023-02-08 17:43:08,11000000.0
KH0276,Công ty TNHH MTV Phân phối Hoàng Gia,Miền Bắc,Sỉ,2024-05-13 19:33:55,750000000.0
KH0277,Công ty Cổ phần Xuất nhập khẩu Hưng Thịnh,Miền Trung,Sỉ,2024-07-12 23:29:35,1062000000.0
KH0278,Doanh nghiệp tư nhân Xuất nhập khẩu Tân Á,Miền Nam,Sỉ,2023-01-26 20:12:13,555000000.0
KH0279,Ngô Văn Khánh,Miền Trung,Lẻ,2023-01-19 17:49:38,12000000.0
KH0280,Võ Minh Nam,Miền Bắc,Lẻ,2023-05-24 05:06:28,33000000.0
KH0281,Công ty TNHH Thương mại Thiên Phú,Miền Nam,Sỉ,2023-02-09 11:27:12,2214000000.0
KH0282,Dương Hữu Sơn,Miền Bắc,Lẻ,2023-11-06 22:33:07,6000000.0
KH0283,Doanh nghiệp tư nhân Xuất nhập khẩu Phú Gia,Miền Nam,Sỉ,2022-09-25 13:04:19,455000000.0
KH0284,Vũ Bích Trang,Miền Nam,Lẻ,2022-08-11 17:38:38,5000000.0
KH0285,Phạm Minh Phong,Miền Trung,Lẻ,2022-12-19 07:06:15,5000000.0
KH0286,Lê Kim Hoa,Miền Bắc,Lẻ,2023-08-30 20:26:47,5000000.0
KH0287,Công ty TNHH MTV Phân phối Hưng Thịnh,Miền Nam,Sỉ,2024-01-01 23:46:39,448000000.0
KH0288,Công ty Cổ phần Thương mại Kim Long,Miền Trung,Sỉ,2023-12-21 14:53:46,967000000.0
KH0289,Đỗ Minh Phong,Miền Bắc,Lẻ,2024-07-03 17:54:11,5000000.0
KH0290,Võ Thu Mai,Miền Trung,Lẻ,2023-10-01 16:09:36,6000000.0
KH0291,Công ty TNHH MTV Xuất nhập khẩu Toàn Cầu,Miền Bắc,Sỉ,2023-12-15 06:05:22,200000000.0
KH0292,Công ty TNHH MTV Phân phối Phú Gia,Miền Nam,Sỉ,2022-10-25 20:35:07,200000000.0
KH0293,Ngô Thu Hoa,Miền Trung,Lẻ,2022-09-02 08:01:45,13000000.0
KH0294,Công ty TNHH MTV Thương mại Đông Á,Miền Trung,Sỉ,2023-05-28 01:11:25,200000000.0
KH0295,Hoàng Đức Khánh,Miền Nam,Lẻ,2023-05-10 08:11:10,5000000.0
KH0296,Công ty TNHH Thực phẩm Đại Dương,Miền Bắc,Sỉ,2024-02-03 10:30:36,573000000.0
KH0297,Lý Xuân Cường,Miền Nam,Lẻ,2023-01-21 16:39:02,23000000.0
KH0298,Đặng Thị Linh,Miền Trung,Lẻ,2024-03-03 18:02:01,5000000.0
KH0299,Doanh nghiệp tư nhân Phân phối Hoàng Gia,Miền Nam,Sỉ,2024-02-15 18:35:52,759000000.0
KH0300,Công ty Cổ phần Phân phối Hưng Thịnh,Miền Trung,Sỉ,2022-11-25 20:51:06,200000000.0
KH0301,Doanh nghiệp tư nhân Thực phẩm Thiên Phú,Miền Nam,Sỉ,2022-11-26 09:45:12,200000000.0
KH0302,Công ty TNHH Dịch vụ Tân Á,Miền Bắc,Sỉ,2024-02-09 13:21:25,765000000.0
KH0303,Công ty Cổ phần Xây dựng Hoàng Gia,Miền Trung,Sỉ,2024-02-08 01:30:53,596000000.0
KH0304,Ngô Công Cường,Miền Trung,Lẻ,2023-10-27 19:53:31,20000000.0
KH0305,Công ty Cổ phần Thương mại Tân Á,Miền Bắc,Sỉ,2023-03-13 15:28:45,1583000000.0
KH0306,Dương Bích Huyền,Miền Nam,Lẻ,2022-11-14 23:47:58,79000000.0
KH0307,Công ty TNHH Phân phối Hoàng Gia,Miền Bắc,Sỉ,2023-04-12 10:50:21,635000000.0
KH0308,Công ty Cổ phần Thực phẩm Đông Á,Miền Nam,Sỉ,2022-09-04 16:22:27,404000000.0
KH0309,Lê Đức Việt,Miền Bắc,Lẻ,2023-04-28 12:41:28,16000000.0
KH0310,Vũ Ngọc Tuấn,Miền Bắc,Lẻ,2022-10-30 15:59:09,5000000.0
KH0311,Công ty Cổ phần Xuất nhập khẩu Tân Á,Miền Trung,Sỉ,2022-11-30 08:37:36,540000000.0
KH0312,Ngô Kim Lan,Miền Trung,Lẻ,2023-03-04 21:24:20,5000000.0
KH0313,Công ty Cổ phần Dịch vụ Tân Phát,Miền Nam,Sỉ,2024-07-07 12:45:57,210000000.0
KH0314,Công ty Cổ phần Dịch vụ Việt Thắng,Miền Bắc,Sỉ,2024-07-29 22:13:08,9304000000.0
KH0315,Doanh nghiệp tư nhân Dịch vụ Đông Á,Miền Nam,Sỉ,2024-05-10 15:35:20,1642000000.0
KH0316,Võ Ngọc Lan,Miền Bắc,Lẻ,2023-01-18 22:26:00,17000000.0
KH0317,Ngô Thu Anh,Miền Bắc,Lẻ,2022-12-22 07:31:22,5000000.0
KH0318,Doanh nghiệp tư nhân Dịch vụ Minh Phát,Miền Trung,Sỉ,2023-03-01 02:09:40,320000000.0
KH0319,Công ty TNHH Dịch vụ Hưng Thịnh,Miền Bắc,Sỉ,2024-03-07 12:46:22,200000000.0
KH0320,Công ty Cổ phần Dịch vụ Việt Thắng,Miền Trung,Sỉ,2024-01-29 10:14:02,200000000.0
KH0321,Công ty Cổ phần Xuất nhập khẩu Hưng Thịnh,Miền Trung,Sỉ,2024-04-04 19:36:57,944000000.0
KH0322,Lý Minh Khánh,Miền Bắc,Lẻ,2023-01-21 11:47:01,18000000.0
KH0323,Công ty TNHH Xuất nhập khẩu Phú Gia,Miền Bắc,Sỉ,2024-07-22 10:39:16,1055000000.0
KH0324,Doanh nghiệp tư nhân Thực phẩm Thiên Phú,Miền Nam,Sỉ,2023-05-25 20:51:09,346000000.0
KH0325,Phạm Hữu Khánh,Miền Nam,Lẻ,2023-05-02 18:43:45,50000000.0
KH0326,Phạm Hữu Đạt,Miền Nam,Lẻ,2024-06-27 03:28:01,26000000.0
KH0327,Công ty TNHH MTV Xây dựng Đại Dương,Miền Trung,Sỉ,2022-12-18 14:59:08,1168000000.0
KH0328,Nguyễn Minh Việt,Miền Trung,Lẻ,2022-10-01 10:05:49,12000000.0
KH0329,Công ty Cổ phần Phân phối Tân Phát,Miền Trung,Sỉ,2024-06-03 04:37:11,200000000.0
KH0330,Doanh nghiệp tư nhân Thực phẩm Thành Đạt,Miền Trung,Sỉ,2024-07-20 04:49:52,439000000.0
KH0331,Lý Quốc Dũng,Miền Trung,Lẻ,2023-04-14 05:19:28,5000000.0
KH0332,Công ty Cổ phần Thực phẩm Toàn Cầu,Miền Trung,Sỉ,2024-07-30 11:43:37,1372000000.0
KH0333,Trần Ngọc Linh,Miền Bắc,Lẻ,2023-04-12 14:17:52,5000000.0
KH0334,Công ty TNHH Thương mại Kim Long,Miền Nam,Sỉ,2023-12-16 05:10:34,200000000.0
KH0335,Doanh nghiệp tư nhân Phân phối Việt Thắng,Miền Nam,Sỉ,2024-03-15 23:01:30,200000000.0
KH0336,Trần Minh Sơn,Miền Nam,Lẻ,2023-05-04 22:51:28,5000000.0
KH0337,Võ Công Việt,Miền Bắc,Lẻ,2023-09-30 13:39:34,30000000.0
KH0338,Lê Văn Sơn,Miền Nam,Lẻ,2023-11-07 02:44:58,14000000.0
KH0339,Công ty TNHH MTV Xây dựng Toàn Cầu,Miền Trung,Sỉ,2024-05-11 03:23:22,718000000.0
KH0340,Công ty Cổ phần Phân phối Hưng Thịnh,Miền Bắc,Sỉ,2023-09-18 18:46:22,200000000.0
KH0341,Công ty TNHH MTV Thương mại Thành Đạt,Miền Bắc,Sỉ,2023-05-13 13:26:14,703000000.0
KH0342,Doanh nghiệp tư nhân Xuất nhập khẩu Phú Gia,Miền Nam,Sỉ,2023-11-10 17:46:08,269000000.0
KH0343,Bùi Ngọc Hùng,Miền Trung,Lẻ,2023-07-03 21:11:18,5000000.0
KH0344,Đỗ Hữu Khánh,Miền Nam,Lẻ,2022-08-04 03:23:28,5000000.0
KH0345,Phạm Diễm Hoa,Miền Bắc,Lẻ,2023-11-14 23:06:49,5000000.0
KH0346,Công ty TNHH MTV Xây dựng Phú Gia,Miền Nam,Sỉ,2024-06-12 13:02:32,918000000.0
KH0347,Huỳnh Diễm Hương,Miền Bắc,Lẻ,2022-10-05 19:27:28,9000000.0
KH0348,Dương Kim Yến,Miền Bắc,Lẻ,2023-09-13 07:55:51,5000000.0
KH0349,Vũ Ngọc Hoa,Miền Bắc,Lẻ,2023-10-15 07:42:47,5000000.0
KH0350,Đỗ Kim Anh,Miền Trung,Lẻ,2023-12-21 09:46:37,9000000.0
KH0351,Công ty TNHH MTV Xây dựng Phú Gia,Miền Trung,Sỉ,2023-06-28 10:19:31,724000000.0
KH0352,Công ty Cổ phần Thương mại Hoàng Gia,Miền Nam,Sỉ,2023-07-13 19:55:37,1948000000.0
KH0353,Lý Xuân Đạt,Miền Nam,Lẻ,2024-03-15 04:45:17,14000000.0
KH0354,Doanh nghiệp tư nhân Dịch vụ Phú Gia,Miền Nam,Sỉ,2024-03-03 17:40:14,244000000.0
KH0355,Ngô Thu Mai,Miền Trung,Lẻ,2023-07-19 01:45:45,5000000.0
KH0356,Công ty TNHH Phân phối Hoàng Gia,Miền Nam,Sỉ,2022-09-18 03:37:31,1092000000.0
KH0357,Công ty TNHH MTV Thương mại Thiên Phú,Miền Trung,Sỉ,2024-05-04 16:43:58,215000000.0
KH0358,Phan Diễm Nhung,Miền Bắc,Lẻ,2022-08-18 04:31:24,5000000.0
KH0359,Lý Thu Hương,Miền Bắc,Lẻ,2023-01-10 16:04:00,51000000.0
KH0360,Vũ Thu Huyền,Miền Trung,Lẻ,2023-11-12 00:01:28,7000000.0
KH0361,Võ Hữu Việt,Miền Trung,Lẻ,2023-10-14 07:21:58,5000000.0
KH0362,Doanh nghiệp tư nhân Thương mại Toàn Cầu,Miền Bắc,Sỉ,2024-07-07 04:48:10,882000000.0
KH0363,Đặng Ngọc Phương,Miền Trung,Lẻ,2024-05-28 10:59:26,5000000.0
KH0364,Công ty TNHH MTV Dịch vụ Minh Phát,Miền Bắc,Sỉ,2023-01-11 09:58:36,473000000.0
KH0365,Trần Quốc Hùng,Miền Nam,Lẻ,2022-11-05 23:49:58,46000000.0
KH0366,Doanh nghiệp tư nhân Thực phẩm Toàn Cầu,Miền Bắc,Sỉ,2023-08-06 09:06:59,991000000.0
KH0367,Lê Thu Nhung,Miền Bắc,Lẻ,2022-10-25 13:32:18,67000000.0
KH0368,Công ty TNHH Phân phối Thiên Phú,Miền Nam,Sỉ,2024-06-12 23:37:34,2802000000.0
KH0369,Doanh nghiệp tư nhân Dịch vụ Phú Gia,Miền Trung,Sỉ,2023-01-18 01:53:07,200000000.0
KH0370,Trần Kim Mai,Miền Nam,Lẻ,2023-09-11 22:46:39,5000000.0
KH0371,Võ Diễm Hương,Miền Bắc,Lẻ,2023-06-10 08:31:29,5000000.0
KH0372,Công ty TNHH Xây dựng Việt Thắng,Miền Bắc,Sỉ,2023-10-15 23:51:55,200000000.0
KH0373,Nguyễn Công Hải,Miền Bắc,Lẻ,2022-11-03 03:27:55,5000000.0
KH0374,Bùi Xuân Sơn,Miền Bắc,Lẻ,2022-08-03 07:46:13,11000000.0
KH0375,Công ty TNHH Thực phẩm Đại Dương,Miền Bắc,Sỉ,2023-12-03 02:50:15,230000000.0
KH0376,Bùi Ngọc Khánh,Miền Nam,Lẻ,2022-12-15 21:36:54,8000000.0
KH0377,Vũ Bích Hương,Miền Bắc,Lẻ,2023-03-21 18:54:44,21000000.0
KH0378,Võ Ngọc Tuấn,Miền Trung,Lẻ,2024-06-28 16:12:15,30000000.0
KH0379,Hoàng Hữu An,Miền Nam,Lẻ,2022-08-11 00:17:36,22000000.0
KH0380,Đỗ Xuân Phong,Miền Nam,Lẻ,2024-07-14 12:30:32,5000000.0
KH0381,Trần Quốc Việt,Miền Nam,Lẻ,2022-12-03 15:22:33,5000000.0
KH0382,Doanh nghiệp tư nhân Xây dựng Tân Á,Miền Bắc,Sỉ,2024-07-12 04:48:44,596000000.0
KH0383,Doanh nghiệp tư nhân Xây dựng Minh Phát,Miền Bắc,Sỉ,2023-12-04 02:34:43,827000000.0
KH0384,Lê Kim Hương,Miền Nam,Lẻ,2023-03-24 13:56:49,24000000.0
KH0385,Lý Thị Huyền,Miền Bắc,Lẻ,2022-11-01 03:43:45,18000000.0
KH0386,Công ty TNHH MTV Phân phối Thiên Phú,Miền Trung,Sỉ,2022-11-15 11:24:31,1395000000.0
KH0387,Đỗ Quốc Hùng,Miền Trung,Lẻ,2023-08-13 10:53:43,8000000.0
KH0388,Dương Đức Hải,Miền Bắc,Lẻ,2022-12-20 13:56:04,5000000.0
KH0389,Công ty TNHH MTV Thực phẩm Kim Long,Miền Nam,Sỉ,2022-12-16 23:21:32,1436000000.0
KH0390,Trần Ngọc Lan,Miền Bắc,Lẻ,2024-06-25 05:12:04,18000000.0
KH0391,Ngô Ngọc Phong,Miền Bắc,Lẻ,2022-10-11 19:18:54,167000000.0
KH0392,Công ty TNHH MTV Xuất nhập khẩu Đại Dương,Miền Bắc,Sỉ,2024-02-29 00:18:30,415000000.0
KH0393,Đặng Thị Linh,Miền Nam,Lẻ,2024-04-17 23:39:59,7000000.0
KH0394,Phan Diễm Nhung,Miền Trung,Lẻ,2023-01-17 16:01:24,16000000.0
KH0395,Võ Xuân Đạt,Miền Bắc,Lẻ,2023-07-27 07:45:25,5000000.0
KH0396,Đặng Ngọc Tuấn,Miền Nam,Lẻ,2024-05-06 05:30:40,45000000.0
KH0397,Trần Ngọc Cường,Miền Nam,Lẻ,2023-09-27 22:25:50,19000000.0
KH0398,Công ty Cổ phần Xây dựng Toàn Cầu,Miền Trung,Sỉ,2024-07-05 16:06:24,380000000.0
KH0399,Võ Thị Hoa,Miền Nam,Lẻ,2023-03-12 03:09:22,13000000.0
KH0400,Công ty Cổ phần Dịch vụ Việt Phát,Miền Nam,Sỉ,2022-11-12 05:05:51,1484000000.0
KH0401,Công ty Cổ phần Dịch vụ Kim Long,Miền Nam,Sỉ,2022-12-06 21:27:56,200000000.0
KH0402,Huỳnh Bích Linh,Miền Trung,Lẻ,2023-08-30 12:47:56,28000000.0
KH0403,Dương Công Tuấn,Miền Bắc,Lẻ,2023-10-15 11:27:02,6000000.0
KH0404,Công ty TNHH MTV Xây dựng Tân Á,Miền Trung,Sỉ,2022-12-23 09:01:17,2274000000.0
KH0405,Công ty TNHH Thực phẩm Việt Phát,Miền Bắc,Sỉ,2023-05-12 23:28:11,387000000.0
KH0406,Đặng Ngọc Hương,Miền Nam,Lẻ,2022-10-27 09:02:07,40000000.0
KH0407,Công ty TNHH MTV Thực phẩm Phú Gia,Miền Nam,Sỉ,2024-02-19 21:52:54,389000000.0
KH0408,Công ty TNHH Thương mại Phú Gia,Miền Bắc,Sỉ,2024-04-07 22:07:18,200000000.0
KH0409,Công ty TNHH MTV Phân phối An Khang,Miền Trung,Sỉ,2023-05-20 00:58:35,2269000000.0
KH0410,Doanh nghiệp tư nhân Thực phẩm Thành Đạt,Miền Trung,Sỉ,2024-06-06 10:58:57,200000000.0
KH0411,Doanh nghiệp tư nhân Phân phối Tân Á,Miền Trung,Sỉ,2023-02-28 18:51:02,429000000.0
KH0412,Công ty TNHH MTV Xuất nhập khẩu Kim Long,Miền Bắc,Sỉ,2024-04-14 18:33:04,4269000000.0
KH0413,Ngô Kim Linh,Miền Nam,Lẻ,2023-02-11 14:15:47,53000000.0
KH0414,Doanh nghiệp tư nhân Thương mại Phú Gia,Miền Nam,Sỉ,2023-05-31 23:31:34,912000000.0
KH0415,Lê Minh Nam,Miền Nam,Lẻ,2022-09-26 08:42:50,5000000.0
KH0416,Phạm Đức Khánh,Miền Bắc,Lẻ,2023-12-21 14:02:58,5000000.0
KH0417,Công ty TNHH MTV Phân phối Thiên Phú,Miền Nam,Sỉ,2022-11-25 08:46:39,200000000.0
KH0418,Phan Ngọc Phong,Miền Nam,Lẻ,2023-12-26 23:13:54,5000000.0
KH0419,Võ Công Nam,Miền Trung,Lẻ,2024-04-01 02:35:07,12000000.0
KH0420,Trần Công Cường,Miền Nam,Lẻ,2024-01-24 00:26:21,12000000.0
KH0421,Công ty TNHH Thương mại Tân Á,Miền Trung,Sỉ,2023-08-06 11:31:20,1786000000.0
KH0422,Doanh nghiệp tư nhân Thực phẩm Toàn Cầu,Miền Bắc,Sỉ,2022-12-15 14:05:03,960000000.0
KH0423,Công ty Cổ phần Xây dựng Hoàng Gia,Miền Trung,Sỉ,2024-03-06 15:19:23,236000000.0
KH0424,Công ty TNHH MTV Xây dựng Việt Phát,Miền Nam,Sỉ,2023-08-11 19:53:32,771000000.0
KH0425,Vũ Kim Nhung,Miền Nam,Lẻ,2024-07-01 06:17:25,5000000.0
KH0426,Công ty TNHH MTV Xuất nhập khẩu Thành Đạt,Miền Trung,Sỉ,2023-11-27 02:39:27,388000000.0
KH0427,Công ty TNHH Xuất nhập khẩu Việt Thắng,Miền Nam,Sỉ,2022-08-19 21:23:06,409000000.0
KH0428,Phạm Ngọc An,Miền Trung,Lẻ,2022-10-10 00:30:07,16000000.0
KH0429,Công ty TNHH Dịch vụ Tân Phát,Miền Nam,Sỉ,2023-04-27 07:51:17,200000000.0
KH0430,Doanh nghiệp tư nhân Dịch vụ Thành Đạt,Miền Trung,Sỉ,2022-09-11 02:12:05,218000000.0
KH0431,Công ty TNHH Xuất nhập khẩu Đại Dương,Miền Trung,Sỉ,2023-09-13 18:26:42,677000000.0
KH0432,Lý Ngọc Hải,Miền Bắc,Lẻ,2023-05-22 22:53:08,12000000.0
KH0433,Doanh nghiệp tư nhân Dịch vụ Phú Gia,Miền Trung,Sỉ,2024-07-31 18:14:33,444000000.0
KH0434,Phan Công Khánh,Miền Trung,Lẻ,2023-10-01 15:25:18,5000000.0
KH0435,Võ Xuân Phong,Miền Bắc,Lẻ,2024-07-20 14:38:47,5000000.0
KH0436,Vũ Thu Thảo,Miền Nam,Lẻ,2022-10-25 23:19:16,8000000.0
KH0437,Bùi Ngọc Hoa,Miền Trung,Lẻ,2024-02-02 19:34:31,26000000.0
KH0438,Phan Ngọc Phong,Miền Bắc,Lẻ,2024-04-23 05:33:32,25000000.0
KH0439,Công ty TNHH MTV Xây dựng An Khang,Miền Bắc,Sỉ,2023-05-13 03:02:37,1108000000.0
KH0440,Đặng Bích Anh,Miền Trung,Lẻ,2023-06-15 02:52:37,5000000.0
KH0441,Nguyễn Ngọc Hải,Miền Nam,Lẻ,2024-01-07 07:23:53,5000000.0
KH0442,Vũ Ngọc Thảo,Miền Bắc,Lẻ,2023-01-08 19:31:45,180000000.0
KH0443,Công ty Cổ phần Dịch vụ Hoàng Gia,Miền Trung,Sỉ,2023-07-02 14:13:33,206000000.0
KH0444,Lê Quốc Sơn,Miền Bắc,Lẻ,2024-03-24 23:05:38,5000000.0
KH0445,Huỳnh Bích Phương,Miền Nam,Lẻ,2024-05-28 23:24:59,18000000.0
KH0446,Doanh nghiệp tư nhân Phân phối Tân Á,Miền Trung,Sỉ,2022-10-08 11:17:34,6070000000.0
KH0447,Vũ Thu Mai,Miền Trung,Lẻ,2024-07-17 15:55:42,168000000.0
KH0448,Bùi Xuân Sơn,Miền Nam,Lẻ,2023-04-03 02:06:29,14000000.0
KH0449,Công ty TNHH MTV Phân phối Thành Đạt,Miền Nam,Sỉ,2023-04-09 03:08:20,220000000.0
KH0450,Đặng Công Việt,Miền Bắc,Lẻ,2023-10-20 04:13:22,14000000.0
